borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude,point,in_nyc,in_borough,bct2020,total_complaints,closest_subway,closest_subway_line,subway_count_tenth_mi,subway_count_half_mi,subway_count_one_mi,subway_count_two_five_mi,hist_dist_name,in_hist_dist,closest_park,name_closest_park,park_count_tenth_mi,park_count_half_mi,park_count_one_mi,park_count_two_five_mi,pop_20,hhpop_20p,gq_20p,instgq_20p,avhhsz_20,popu18_20p,hsp_20p,wnh_20p,bnh_20p,anh_20p,onh_20p,nh2pl_20p,hunits_20,ochu_20p,vachu_20p
BROOKLYN,3114074,1519,NEW YORK AVE,321407544,11210,2017-03-21,INDIVIDUAL,N,40.635602,-73.945022,POINT (-73.945022 40.635602),1.0,BROOKLYN,3078400,245,0.22934710215024315,2-5,0,11,14,85,none,0,0.12754175055944758,Nostrand Playground,0,3,15,137,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3425743,1605,NEW YORK AVENUE,321501335,11210,2017-06-19,PARTNERSHIP,N,40.633401,-73.944786,POINT (-73.944786 40.633401),1.0,BROOKLYN,3078400,311,0.15107559925229122,2-5,0,8,15,75,none,0,0.24088224688643048,Nostrand Playground,0,3,15,130,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3425453,1507,NEW YORK AVENUE,321531124,11210,2018-01-30,INDIVIDUAL,N,40.635819,-73.945044,POINT (-73.945044 40.635819),1.0,BROOKLYN,3078400,261,0.24042035782154242,2-5,0,11,14,87,none,0,0.11720104283283339,Nostrand Playground,0,3,15,137,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3426448,1509,NEW YORK AVE,321531115,11210,2018-02-01,INDIVIDUAL,N,40.635783,-73.94504,POINT (-73.94504 40.635783),1.0,BROOKLYN,3078400,261,0.23855828788597305,2-5,0,11,14,87,none,0,0.11890784009817028,Nostrand Playground,0,3,15,137,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3426573,3506,FARRAGUT ROAD,321512564,11210,2018-05-02,INDIVIDUAL,N,40.636567,-73.943033,POINT (-73.943033 40.636567),1.0,BROOKLYN,3078400,649,0.35741097886936507,2-5,0,11,13,95,none,0,0.18740839505989054,Nostrand Playground,0,3,14,154,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3425529,3514,FARRAGUT ROAD,321512608,11210,2018-05-14,INDIVIDUAL,N,40.636573,-73.942975,POINT (-73.942975 40.636573),1.0,BROOKLYN,3078400,649,0.3600993244565658,2-5,0,11,13,95,none,0,0.19035072062555244,Nostrand Playground,0,3,14,154,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3426572,3508,FARRAGUT ROAD,321512582,11210,2018-05-14,INDIVIDUAL,N,40.63657,-73.943018,POINT (-73.943018 40.63657),1.0,BROOKLYN,3078400,649,0.3581758559321945,2-5,0,11,13,95,none,0,0.1881463631201328,Nostrand Playground,0,3,14,154,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3205991,1645,NEW YORK AVENUE,321786135,11210,2018-09-11,CORPORATION,N,40.632687,-73.944708,POINT (-73.944708 40.632687),1.0,BROOKLYN,3078400,350,0.14780154703515624,2-5,0,8,15,76,none,0,0.2789932602442428,Nostrand Playground,0,3,16,125,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3425784,1643,NEW YORK AVENUE,321786144,11210,2018-09-19,CORPORATION,N,40.632723,-73.944711,POINT (-73.944711 40.632723),1.0,BROOKLYN,3078400,350,0.1475769412585673,2-5,0,8,15,76,none,0,0.27708098743020554,Nostrand Playground,0,3,16,125,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3114072,1525,NEW YORK AVENUE,321385443,11210,2019-07-02,CORPORATION,N,40.635492,-73.945008,POINT (-73.945008 40.635492),1.0,BROOKLYN,3078400,316,0.2240655461639356,2-5,0,11,15,84,none,0,0.1329664892438364,Nostrand Playground,0,3,15,137,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3426533,1527,NEW YORK AVENUE,321385737,11210,2019-07-03,CORPORATION,N,40.635457,-73.945004,POINT (-73.945004 40.635457),1.0,BROOKLYN,3078400,316,0.2224023404851603,2-5,0,11,15,84,none,0,0.13469028944127243,Nostrand Playground,0,3,15,137,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3426839,1613,BROOKLYN AVE,321847748,11210,2019-07-11,PARTNERSHIP,N,40.633578,-73.941915,POINT (-73.941915 40.633578),1.0,BROOKLYN,3078400,225,0.30841658441095654,2-5,0,8,13,77,none,0,0.2497660669053432,Amersfort Park,0,5,13,140,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3114102,3421,GLENWOOD ROAD,321948666,11210,2020-06-25,CORPORATION,N,40.634262,-73.94364,POINT (-73.94364 40.634262),1.0,BROOKLYN,3078400,293,0.23448076585767147,2-5,0,10,13,78,none,0,0.23121497012766312,Nostrand Playground,0,3,15,137,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3429091,977,EAST 34 STREET,340757862,11210,2021-06-22,CORPORATION,N,40.632621,-73.943728,POINT (-73.943728 40.632621),1.0,BROOKLYN,3078400,344,0.20223339906401314,2-5,0,8,13,77,none,0,0.28105693572148244,Amersfort Park,0,3,14,130,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3428818,979,EAST 34 STREET,322034810,11210,2021-06-18,CORPORATION,N,40.632585,-73.943724,POINT (-73.943724 40.632585),1.0,BROOKLYN,3078400,344,0.20259399004619305,2-5,0,8,13,77,none,0,0.27976797532882536,Amersfort Park,0,3,14,130,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3429205,1538,BROOKLYN AVENUE,340766852,11210,2021-05-25,CORPORATION,N,40.635598,-73.942154,POINT (-73.942154 40.635598),1.0,BROOKLYN,3078400,209,0.3561533787893623,2-5,0,10,13,91,none,0,0.21904967751952706,Paerdegat Park,0,4,14,151,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3429206,1546,BROOKLYN AVENUE,322036266,11210,2021-06-03,CORPORATION,N,40.635452,-73.942136,POINT (-73.942136 40.635452),1.0,BROOKLYN,3078400,217,0.35086495089944536,2-5,0,10,13,90,none,0,0.22100714062440474,Paerdegat Park,0,4,14,150,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3114187,1540,BROOKLYN AVE,340766816,11210,2021-06-03,CORPORATION,N,40.635562,-73.942151,POINT (-73.942151 40.635562),1.0,BROOKLYN,3078400,209,0.3547617292031916,2-5,0,10,13,90,none,0,0.21958011954563378,Paerdegat Park,0,4,14,150,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3114069,1541,NEW YORK AVE.,321937767,11210,2022-01-07,PARTNERSHIP,N,40.635204,-73.944979,POINT (-73.944979 40.635204),1.0,BROOKLYN,3078400,316,0.21075467028999845,2-5,0,11,15,83,none,0,0.14718838573520127,Nostrand Playground,0,3,15,135,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3206044,3408,GLENWOOD ROAD,321807611,11210,2022-02-18,CORPORATION,N,40.63424,-73.943719,POINT (-73.943719 40.63424),1.0,BROOKLYN,3078400,293,0.22986499647308234,2-5,0,10,13,78,none,0,0.22944799102798438,Nostrand Playground,0,3,15,136,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3114218,1529,BROOKLYN AVE,321598286,11210,2022-02-22,PARTNERSHIP,N,40.635743,-73.942147,POINT (-73.942147 40.635743),1.0,BROOKLYN,3078400,178,0.3621764425005042,2-5,0,10,13,93,none,0,0.21609273449864969,Paerdegat Park,0,4,14,151,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3121674,1457,FLATBUSH AVENUE,321827163,11210,2022-05-11,CORPORATION,N,40.634773,-73.949721,POINT (-73.949721 40.634773),1.0,BROOKLYN,3078601,642,0.1479439720142586,2-5,0,11,20,87,none,0,0.19904171077979374,Nostrand Playground,0,3,14,127,2374,1.0,0.0,0.0,2.56,0.2019999999999999,0.133,0.038,0.647,0.1169999999999999,0.008,0.057,1004,0.924,0.076
BROOKLYN,3205941,3120,GLENWOOD ROAD,321191900,11210,2022-05-25,CORPORATION,N,40.634068,-73.946533,POINT (-73.946533 40.634068),1.0,BROOKLYN,3078601,634,0.09152068655135459,2-5,2,10,16,78,none,0,0.18836879302346554,Nostrand Playground,0,4,15,127,2374,1.0,0.0,0.0,2.56,0.2019999999999999,0.133,0.038,0.647,0.1169999999999999,0.008,0.057,1004,0.924,0.076
BROOKLYN,3205941,712,EAST 32 STREET,320910225,11210,2022-05-25,CORPORATION,N,40.633566,-73.945817,POINT (-73.945817 40.633566),1.0,BROOKLYN,3078601,395,0.1048570773679679,2-5,0,10,16,76,none,0,0.21850330281546465,Nostrand Playground,0,4,15,126,2374,1.0,0.0,0.0,2.56,0.2019999999999999,0.133,0.038,0.647,0.1169999999999999,0.008,0.057,1004,0.924,0.076
BROOKLYN,3205944,730,EAST 32 STREET,321190439,11210,2017-01-31,INDIVIDUAL,N,40.633264,-73.945784,POINT (-73.945784 40.633264),1.0,BROOKLYN,3078601,346,0.09578122783363319,2-5,1,8,16,77,none,0,0.2350573196181842,Nostrand Playground,0,3,16,126,2374,1.0,0.0,0.0,2.56,0.2019999999999999,0.133,0.038,0.647,0.1169999999999999,0.008,0.057,1004,0.924,0.076
BROOKLYN,3205946,762,EAST 32 STREET,321570778,11210,2019-04-12,CORPORATION,N,40.632731,-73.945727,POINT (-73.945727 40.632731),1.0,BROOKLYN,3078601,900,0.0912962282996725,2-5,2,8,17,77,none,0,0.26426598656978034,Nostrand Playground,0,3,16,124,2374,1.0,0.0,0.0,2.56,0.2019999999999999,0.133,0.038,0.647,0.1169999999999999,0.008,0.057,1004,0.924,0.076
BROOKLYN,3425598,764,EAST 32 STREET,321570787,11210,2019-05-16,CORPORATION,N,40.632696,-73.945724,POINT (-73.945724 40.632696),1.0,BROOKLYN,3078601,900,0.09153679161888048,2-5,2,8,17,77,none,0,0.26617901478080935,Nostrand Playground,0,3,16,125,2374,1.0,0.0,0.0,2.56,0.2019999999999999,0.133,0.038,0.647,0.1169999999999999,0.008,0.057,1004,0.924,0.076
BROOKLYN,3122029,150,TERRACE PLACE,340796151,11218,2022-05-16,INDIVIDUAL,N,40.655274,-73.976642,POINT (-73.976642 40.655274),1.0,BROOKLYN,3050202,112,0.19480045755734018,F,0,10,31,202,none,0,0.08436682309213653,Park,2,15,29,186,2312,0.984,0.016,0.0,2.22,0.211,0.098,0.735,0.032,0.06,0.011,0.064,1084,0.946,0.054
BROOKLYN,3815647,2922,FULTON ST,322039888,11207,2022-05-12,CORPORATION,N,40.679221,-73.886894,POINT (-73.886894 40.679221),1.0,BROOKLYN,3117000,714,0.0689962998042975,J,2,8,34,119,none,0,0.13795781709743432,Sperandeo Brothers Playground,0,23,62,232,1974,0.992,0.008,0.0,3.32,0.233,0.665,0.023,0.191,0.053,0.031,0.036,636,0.928,0.072
BROOKLYN,3426517,2926,FULTON STREET,320915630,11207,2017-04-12,CORPORATION,N,40.679256,-73.886785,POINT (-73.886785 40.679256),1.0,BROOKLYN,3117000,714,0.062460742890837424,J,2,8,34,116,none,0,0.1352036808362399,Sperandeo Brothers Playground,0,23,62,231,1974,0.992,0.008,0.0,3.32,0.233,0.665,0.023,0.191,0.053,0.031,0.036,636,0.928,0.072
BROOKLYN,3414602,671,LIBERTY AVENUE,321672061,11207,2018-05-21,INDIVIDUAL,N,40.676112,-73.885035,POINT (-73.885035 40.676112),1.0,BROOKLYN,3117000,374,0.25231064281123555,J,0,12,36,111,none,0,0.014846446223397385,Sperandeo Brothers Playground,3,31,64,228,1974,0.992,0.008,0.0,3.32,0.233,0.665,0.023,0.191,0.053,0.031,0.036,636,0.928,0.072
BROOKLYN,3429006,283,WARWICK STREET,321766282,11207,2021-07-20,CORPORATION,N,40.676813,-73.886717,POINT (-73.886717 40.676813),1.0,BROOKLYN,3117000,359,0.20590834126073662,J,0,12,37,113,none,0,0.09386947580106358,Sperandeo Brothers Playground,1,35,65,232,1974,0.992,0.008,0.0,3.32,0.233,0.665,0.023,0.191,0.053,0.031,0.036,636,0.928,0.072
STATEN ISLAND,5174981,52,BURKE AVENUE,540195386,10314,2022-05-12,PARTNERSHIP,N,40.593267,-74.188737,POINT (-74.188737 40.593267),1.0,STATEN ISLAND,5029102,55,3.702773778061183,SIR,0,0,0,0,none,0,0.09477592664681951,Meredith Woods,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5174979,48,BURKE AVENUE,540195368,10314,2022-05-20,PARTNERSHIP,N,40.593289,-74.188777,POINT (-74.188777 40.593289),1.0,STATEN ISLAND,5029102,55,3.7053576100323147,SIR,0,0,0,0,none,0,0.09304202253307141,Meredith Woods,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5174980,50,BURKE AVENUE,540195377,10314,2022-05-20,PARTNERSHIP,N,40.593278,-74.188759,POINT (-74.188759 40.593278),1.0,STATEN ISLAND,5029102,55,3.7041289298109064,SIR,0,0,0,0,none,0,0.0938759019956081,Meredith Woods,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5171657,3935,VICTORY BOULEVARD,520337332,10314,2019-03-14,PARTNERSHIP,N,40.594477,-74.185957,POINT (-74.185957 40.594477),1.0,STATEN ISLAND,5029102,69,3.691629040763621,SIR,0,0,0,0,none,0,0.10465047640399586,Freshkills Park,0,7,9,33,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5171156,46,CANNON AVENUE,520337341,10314,2019-03-14,PARTNERSHIP,N,40.594811,-74.186315,POINT (-74.186315 40.594811),1.0,STATEN ISLAND,5029102,58,3.7228226564393383,SIR,0,0,0,0,none,0,0.11430770855428292,Meredith Woods,0,7,9,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5171157,44,CANNON AVENUE,520337350,10314,2019-03-14,PARTNERSHIP,N,40.594819,-74.186268,POINT (-74.186268 40.594819),1.0,STATEN ISLAND,5029102,58,3.7219337621489537,SIR,0,0,0,0,none,0,0.11535829145535119,Meredith Woods,0,7,9,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5171656,3939,VICTORY BOULEVARD,520337323,10314,2019-03-19,PARTNERSHIP,N,40.594427,-74.186044,POINT (-74.186044 40.594427),1.0,STATEN ISLAND,5029102,69,3.691098795594068,SIR,0,0,0,0,none,0,0.10612721302714323,Freshkills Park,0,7,9,33,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166793,91,ALBERTA AVENUE,520227353,10314,2016-08-15,CORPORATION,N,40.589345,-74.190123,POINT (-74.190123 40.589345),1.0,STATEN ISLAND,5029102,61,3.5188146567297776,SIR,0,0,0,0,none,0,0.09311300118475795,Schmul Park,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166794,95,ALBERTA AVENUE,520229878,10314,2016-08-15,CORPORATION,N,40.589293,-74.190037,POINT (-74.190037 40.589293),1.0,STATEN ISLAND,5029102,61,3.5128775759170927,SIR,0,0,0,0,none,0,0.09038802757490892,Schmul Park,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166791,87,ALBERTA AVENUE,520227308,10314,2016-08-15,CORPORATION,N,40.589395,-74.190206,POINT (-74.190206 40.589395),1.0,STATEN ISLAND,5029102,44,3.524534507927289,SIR,0,0,0,0,none,0,0.09597050013826013,Schmul Park,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166789,83,ALBERTA AVENUE,520227291,10314,2016-08-16,CORPORATION,N,40.589444,-74.190289,POINT (-74.190289 40.589444),1.0,STATEN ISLAND,5029102,44,3.530197757391301,SIR,0,0,0,0,none,0,0.099048061947019,Schmul Park,1,6,10,32,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166712,4073,VICTORY BOULEVARD,520268157,10314,2016-11-26,PARTNERSHIP,N,40.592283,-74.189696,POINT (-74.189696 40.592283),1.0,STATEN ISLAND,5029102,39,3.675096140866238,SIR,0,0,0,0,none,0,0.09224657269906797,Sylvan Grove Cemetery,1,6,10,31,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166624,40,ROSWELL AVENUE,520280758,10314,2017-01-26,CORPORATION,N,40.590423,-74.190501,POINT (-74.190501 40.590423),1.0,STATEN ISLAND,5029102,52,3.5935923525448534,SIR,0,0,0,0,none,0,0.07044037165132094,Sylvan Grove Cemetery,1,6,10,30,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5166623,42,ROSWELL AVENUE,520280749,10314,2017-01-26,CORPORATION,N,40.590402,-74.190465,POINT (-74.190465 40.590402),1.0,STATEN ISLAND,5029102,53,3.591156483103722,SIR,0,0,0,0,none,0,0.07259572167773967,Sylvan Grove Cemetery,1,6,10,30,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5169894,35,CANNON AVENUE,520271241,10314,2017-02-21,PARTNERSHIP,N,40.594877,-74.186038,POINT (-74.186038 40.594877),1.0,STATEN ISLAND,5029102,58,3.718776972746302,SIR,0,0,0,0,none,0,0.11964278155734001,Meredith Woods,0,8,9,33,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5168160,39,CANNON AVENUE,520271269,10314,2017-02-23,PARTNERSHIP,N,40.594863,-74.186124,POINT (-74.186124 40.594863),1.0,STATEN ISLAND,5029102,58,3.7204281110893773,SIR,0,0,0,0,none,0,0.11769144501571695,Meredith Woods,0,8,9,33,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5168159,31,CANNON AVENUE,520271250,10314,2017-03-21,PARTNERSHIP,N,40.594894,-74.185948,POINT (-74.185948 40.594894),1.0,STATEN ISLAND,5029102,70,3.7172008269357035,SIR,0,0,0,0,none,0,0.12023331635939644,Freshkills Park,0,8,9,33,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
STATEN ISLAND,5169491,4065,VICTORY BOULEVARD,520268175,10314,2017-04-25,PARTNERSHIP,N,40.592377,-74.189538,POINT (-74.189538 40.592377),1.0,STATEN ISLAND,5029102,45,3.675494445026175,SIR,0,0,0,0,none,0,0.10216120190830401,Sylvan Grove Cemetery,0,6,10,31,3394,0.996,0.004,0.0,3.17,0.249,0.22,0.578,0.033,0.135,0.009,0.024,1127,0.945,0.055
