,longitude,latitude,point
68,-73.77450647237336,40.74520699085915,POINT (-73.77450647237336 40.74520699085915)
69,-73.7998775103365,40.71957242045559,POINT (-73.7998775103365 40.71957242045559)
70,-73.8190815280891,40.66325137205657,POINT (-73.8190815280891 40.66325137205657)
71,-73.82976207452081,40.69760356751348,POINT (-73.82976207452081 40.69760356751348)
72,-73.77813002304534,40.725153672530965,POINT (-73.77813002304534 40.725153672530965)
73,-73.79451015992488,40.76929390069699,POINT (-73.79451015992488 40.76929390069699)
74,-73.77616043649164,40.72197793885076,POINT (-73.77616043649164 40.72197793885076)
76,-73.77766618299995,40.7641731850987,POINT (-73.77766618299995 40.7641731850987)
77,-73.85107327556987,40.69972070658193,POINT (-73.85107327556987 40.69972070658193)
78,-73.81897889741298,40.70936436505947,POINT (-73.81897889741298 40.70936436505947)
79,-73.72949250578957,40.70568040737578,POINT (-73.72949250578957 40.70568040737578)
80,-73.87787456058999,40.7513565790191,POINT (-73.87787456058999 40.7513565790191)
81,-73.75767964199399,40.67698252595996,POINT (-73.75767964199399 40.67698252595996)
82,-73.7947098241124,40.69792094980426,POINT (-73.7947098241124 40.69792094980426)
83,-73.78289013470679,40.78948092710354,POINT (-73.78289013470679 40.78948092710354)
84,-73.77508732932644,40.77709260708416,POINT (-73.77508732932644 40.77709260708416)
85,-73.79759146664622,40.77453882944075,POINT (-73.79759146664622 40.77453882944075)
86,-73.91123772600899,40.776417044193934,POINT (-73.91123772600899 40.776417044193934)
87,-73.84952014512794,40.71534048852642,POINT (-73.84952014512794 40.71534048852642)
89,-73.77881469189937,40.63519236121426,POINT (-73.77881469189937 40.63519236121426)
90,-73.79747815942923,40.65259788482492,POINT (-73.79747815942923 40.65259788482492)
91,-73.76799604871466,40.72051388861696,POINT (-73.76799604871466 40.72051388861696)
92,-73.88088045606024,40.76415294600165,POINT (-73.88088045606024 40.76415294600165)
93,-73.81169066072599,40.728993433799616,POINT (-73.81169066072599 40.728993433799616)
94,-73.87009745766494,40.73770839405135,POINT (-73.87009745766494 40.73770839405135)
95,-73.79283586267859,40.73892822528657,POINT (-73.79283586267859 40.73892822528657)
96,-73.79103766500744,40.7007844374263,POINT (-73.79103766500744 40.7007844374263)
97,-73.85890421554538,40.70617313025097,POINT (-73.85890421554538 40.70617313025097)
99,-73.89899402869725,40.78149513629148,POINT (-73.89899402869725 40.78149513629148)
100,-73.78580881591881,40.657081569858434,POINT (-73.78580881591881 40.657081569858434)
101,-73.93243254935206,40.7540346933826,POINT (-73.93243254935206 40.7540346933826)
102,-73.72845912526823,40.75461976193942,POINT (-73.72845912526823 40.75461976193942)
103,-73.76527660103159,40.75740251279473,POINT (-73.76527660103159 40.75740251279473)
105,-73.8534102324179,40.73709323090908,POINT (-73.8534102324179 40.73709323090908)
106,-73.88642471778252,40.69928227646994,POINT (-73.88642471778252 40.69928227646994)
107,-73.87745669301171,40.710873429060506,POINT (-73.87745669301171 40.710873429060506)
109,-73.76696902050138,40.66489407450956,POINT (-73.76696902050138 40.66489407450956)
110,-73.74032418475969,40.68333731668282,POINT (-73.74032418475969 40.68333731668282)
111,-73.86526341910957,40.73021120678776,POINT (-73.86526341910957 40.73021120678776)
112,-73.89255766995386,40.71022539024782,POINT (-73.89255766995386 40.71022539024782)
113,-73.7748547624573,40.66020262071567,POINT (-73.7748547624573 40.66020262071567)
114,-73.77782780519719,40.64865106776683,POINT (-73.77782780519719 40.64865106776683)
115,-73.86994638865805,40.75597343986051,POINT (-73.86994638865805 40.75597343986051)
116,-73.91588017529513,40.717124913451016,POINT (-73.91588017529513 40.717124913451016)
117,-73.77076736274289,40.71082711560735,POINT (-73.77076736274289 40.71082711560735)
118,-73.82883131290045,40.77155511960614,POINT (-73.82883131290045 40.77155511960614)
119,-73.86397349498719,40.75194112844707,POINT (-73.86397349498719 40.75194112844707)
120,-73.82378530838983,40.68486651158484,POINT (-73.82378530838983 40.68486651158484)
121,-73.81515276467326,40.70105794127334,POINT (-73.81515276467326 40.70105794127334)
122,-73.80186584265259,40.69090387944623,POINT (-73.80186584265259 40.69090387944623)
123,-73.90250528788685,40.70644453979257,POINT (-73.90250528788685 40.70644453979257)
124,-73.76436227842011,40.6813375435005,POINT (-73.76436227842011 40.6813375435005)
125,-73.907337969212,40.75979907728689,POINT (-73.907337969212 40.75979907728689)
126,-73.76959573652675,40.69182648412118,POINT (-73.76959573652675 40.69182648412118)
128,-73.77492869342775,40.74616727210886,POINT (-73.77492869342775 40.74616727210886)
129,-73.90804874664897,40.71940092535935,POINT (-73.90804874664897 40.71940092535935)
130,-73.75373622931936,40.69426146681437,POINT (-73.75373622931936 40.69426146681437)
131,-73.79151244630147,40.67520120168271,POINT (-73.79151244630147 40.67520120168271)
132,-73.75689248906497,40.715336160192734,POINT (-73.75689248906497 40.715336160192734)
133,-73.94415163264324,40.747629106324496,POINT (-73.94415163264324 40.747629106324496)
134,-73.85162952859493,40.69991306949824,POINT (-73.85162952859493 40.69991306949824)
135,-73.90778458342761,40.7020974331159,POINT (-73.90778458342761 40.7020974331159)
137,-73.7387724379954,40.67931849966976,POINT (-73.7387724379954 40.67931849966976)
139,-73.79703193032414,40.7331445101708,POINT (-73.79703193032414 40.7331445101708)
140,-73.78384256509321,40.659258108537365,POINT (-73.78384256509321 40.659258108537365)
141,-73.7537069377448,40.69765293476407,POINT (-73.7537069377448 40.69765293476407)
142,-73.7974921749689,40.64301027417207,POINT (-73.7974921749689 40.64301027417207)
143,-73.74184182651528,40.67492562604232,POINT (-73.74184182651528 40.67492562604232)
144,-73.75596812227386,40.64782418755936,POINT (-73.75596812227386 40.64782418755936)
145,-73.73813267039007,40.771992874412526,POINT (-73.73813267039007 40.771992874412526)
146,-73.73161548256692,40.7297324085168,POINT (-73.73161548256692 40.7297324085168)
147,-73.77041380293842,40.62718011237576,POINT (-73.77041380293842 40.62718011237576)
148,-73.92323162956446,40.73965488688738,POINT (-73.92323162956446 40.73965488688738)
149,-73.78422138139328,40.65833465941101,POINT (-73.78422138139328 40.65833465941101)
150,-73.7944224583215,40.77621671983204,POINT (-73.7944224583215 40.77621671983204)
151,-73.77514767825585,40.74964917890368,POINT (-73.77514767825585 40.74964917890368)
152,-73.82578701779866,40.7510744110045,POINT (-73.82578701779866 40.7510744110045)
153,-73.85463696243635,40.67248070254846,POINT (-73.85463696243635 40.67248070254846)
154,-73.85123488834606,40.74222747838715,POINT (-73.85123488834606 40.74222747838715)
155,-73.76943392685183,40.72396191043769,POINT (-73.76943392685183 40.72396191043769)
156,-73.8148935370532,40.791862411596846,POINT (-73.8148935370532 40.791862411596846)
157,-73.85891668539402,40.68202983509437,POINT (-73.85891668539402 40.68202983509437)
158,-73.76137646535308,40.73522010714687,POINT (-73.76137646535308 40.73522010714687)
160,-73.77003941435329,40.69849433110326,POINT (-73.77003941435329 40.69849433110326)
161,-73.8320610515882,40.76421805824132,POINT (-73.8320610515882 40.76421805824132)
162,-73.83213211177564,40.67083807820647,POINT (-73.83213211177564 40.67083807820647)
163,-73.90028893637088,40.74627984689096,POINT (-73.90028893637088 40.74627984689096)
164,-73.7887424828733,40.73340423105272,POINT (-73.7887424828733 40.73340423105272)
165,-73.77123313929174,40.66218867702016,POINT (-73.77123313929174 40.66218867702016)
166,-73.81185636028181,40.67527900441668,POINT (-73.81185636028181 40.67527900441668)
168,-73.80715652252083,40.642694173754656,POINT (-73.80715652252083 40.642694173754656)
169,-73.73351037869172,40.75668880955004,POINT (-73.73351037869172 40.75668880955004)
170,-73.76006563591912,40.67452392061029,POINT (-73.76006563591912 40.67452392061029)
171,-73.77621671766526,40.69856061121817,POINT (-73.77621671766526 40.69856061121817)
172,-73.83114458809736,40.663887670750974,POINT (-73.83114458809736 40.663887670750974)
173,-73.78798580218752,40.74436019617547,POINT (-73.78798580218752 40.74436019617547)
174,-73.84751561592917,40.77557847971449,POINT (-73.84751561592917 40.77557847971449)
175,-73.86641109818558,40.70850245795277,POINT (-73.86641109818558 40.70850245795277)
176,-73.71631149298547,40.74790661038885,POINT (-73.71631149298547 40.74790661038885)
177,-73.82468407847155,40.69015504467869,POINT (-73.82468407847155 40.69015504467869)
178,-73.77124622197046,40.654715193383126,POINT (-73.77124622197046 40.654715193383126)
179,-73.73958282253597,40.726744411806735,POINT (-73.73958282253597 40.726744411806735)
180,-73.86406315477443,40.732698655517645,POINT (-73.86406315477443 40.732698655517645)
182,-73.75521465958981,40.68738078125073,POINT (-73.75521465958981 40.68738078125073)
183,-73.9050496098255,40.78343657373483,POINT (-73.9050496098255 40.78343657373483)
184,-73.78315187895913,40.636969343979,POINT (-73.78315187895913 40.636969343979)
185,-73.80634845720401,40.64460079148599,POINT (-73.80634845720401 40.64460079148599)
186,-73.90057891626581,40.7444639747532,POINT (-73.90057891626581 40.7444639747532)
187,-73.78257858652101,40.70722410879196,POINT (-73.78257858652101 40.70722410879196)
188,-73.7398472066982,40.63611780843744,POINT (-73.7398472066982 40.63611780843744)
189,-73.7559981989373,40.73718484576208,POINT (-73.7559981989373 40.73718484576208)
190,-73.8019872824917,40.61860483292693,POINT (-73.8019872824917 40.61860483292693)
191,-73.7928861730603,40.59456231619093,POINT (-73.7928861730603 40.59456231619093)
192,-73.86792326540089,40.732378475234015,POINT (-73.86792326540089 40.732378475234015)
193,-73.79553549960175,40.77670175020271,POINT (-73.79553549960175 40.77670175020271)
194,-73.79882051027536,40.60857344193466,POINT (-73.79882051027536 40.60857344193466)
195,-73.76298960903821,40.70819291531895,POINT (-73.76298960903821 40.70819291531895)
196,-73.82668337849832,40.70061993243216,POINT (-73.82668337849832 40.70061993243216)
198,-73.8529912229145,40.72673315389456,POINT (-73.8529912229145 40.72673315389456)
199,-73.93706804563705,40.54697154435502,POINT (-73.93706804563705 40.54697154435502)
200,-73.8950623239321,40.7495388115163,POINT (-73.8950623239321 40.7495388115163)
202,-73.77071004894135,40.7590901076053,POINT (-73.77071004894135 40.7590901076053)
204,-73.92731838748801,40.766574120841085,POINT (-73.92731838748801 40.766574120841085)
205,-73.74619902687067,40.76962765951793,POINT (-73.74619902687067 40.76962765951793)
206,-73.81550534868997,40.70177534530219,POINT (-73.81550534868997 40.70177534530219)
207,-73.76176929400258,40.649165093562914,POINT (-73.76176929400258 40.649165093562914)
208,-73.73409897844306,40.75692527243729,POINT (-73.73409897844306 40.75692527243729)
209,-73.73197999245129,40.76333706492091,POINT (-73.73197999245129 40.76333706492091)
210,-73.8501622659449,40.69037333521416,POINT (-73.8501622659449 40.69037333521416)
211,-73.7044925896747,40.74601746415235,POINT (-73.7044925896747 40.74601746415235)
212,-73.73215646366172,40.714327285049976,POINT (-73.73215646366172 40.714327285049976)
213,-73.8144007459997,40.78025477698773,POINT (-73.8144007459997 40.78025477698773)
214,-73.83224399100251,40.70635473473503,POINT (-73.83224399100251 40.70635473473503)
215,-73.84193111361337,40.65449437093204,POINT (-73.84193111361337 40.65449437093204)
216,-73.87206224911621,40.69815238505274,POINT (-73.87206224911621 40.69815238505274)
217,-73.84704147062767,40.66495943825437,POINT (-73.84704147062767 40.66495943825437)
219,-73.75539747116864,40.725229600026,POINT (-73.75539747116864 40.725229600026)
220,-73.71999538586526,40.75899511021886,POINT (-73.71999538586526 40.75899511021886)
221,-73.74493494545305,40.67691246311842,POINT (-73.74493494545305 40.67691246311842)
222,-73.81641796110937,40.79381369364192,POINT (-73.81641796110937 40.79381369364192)
223,-73.76424364740393,40.72656358991485,POINT (-73.76424364740393 40.72656358991485)
224,-73.8012894500453,40.59294319879287,POINT (-73.8012894500453 40.59294319879287)
225,-73.72748049160526,40.68341394437807,POINT (-73.72748049160526 40.68341394437807)
226,-73.88930826287523,40.72927484313427,POINT (-73.88930826287523 40.72927484313427)
227,-73.83466332290968,40.73453215580425,POINT (-73.83466332290968 40.73453215580425)
228,-73.82545608948126,40.71080079102718,POINT (-73.82545608948126 40.71080079102718)
229,-73.79675368585427,40.69487449758305,POINT (-73.79675368585427 40.69487449758305)
231,-73.792930980068,40.64537415463455,POINT (-73.792930980068 40.64537415463455)
232,-73.8307507108949,40.59515120820722,POINT (-73.8307507108949 40.59515120820722)
233,-73.77602481899474,40.78970337549744,POINT (-73.77602481899474 40.78970337549744)
234,-73.76277751284022,40.69619214481671,POINT (-73.76277751284022 40.69619214481671)
235,-73.842279246793,40.71715700737014,POINT (-73.842279246793 40.71715700737014)
236,-73.88931425664967,40.7172575723822,POINT (-73.88931425664967 40.7172575723822)
238,-73.93983063712953,40.75871692340705,POINT (-73.93983063712953 40.75871692340705)
239,-73.86263053302538,40.754436014665735,POINT (-73.86263053302538 40.754436014665735)
240,-73.82217932752735,40.73370595842383,POINT (-73.82217932752735 40.73370595842383)
241,-73.84169946254599,40.71577146444068,POINT (-73.84169946254599 40.71577146444068)
242,-73.88534213502118,40.7465442043789,POINT (-73.88534213502118 40.7465442043789)
243,-73.79725674117275,40.68429673892911,POINT (-73.79725674117275 40.68429673892911)
244,-73.72743462661542,40.75301286619387,POINT (-73.72743462661542 40.75301286619387)
245,-73.81937754822641,40.68006476905608,POINT (-73.81937754822641 40.68006476905608)
246,-73.77603252878625,40.67259243156423,POINT (-73.77603252878625 40.67259243156423)
247,-73.8067122110216,40.64748243440692,POINT (-73.8067122110216 40.64748243440692)
249,-73.75692786392455,40.65562121123121,POINT (-73.75692786392455 40.65562121123121)
250,-73.7297744275928,40.72753430253725,POINT (-73.7297744275928 40.72753430253725)
251,-73.85932495193556,40.73981726181646,POINT (-73.85932495193556 40.73981726181646)
252,-73.77427824612596,40.72127463471764,POINT (-73.77427824612596 40.72127463471764)
253,-73.74093767965734,40.67800245938705,POINT (-73.74093767965734 40.67800245938705)
255,-73.75355764996215,40.71481227145675,POINT (-73.75355764996215 40.71481227145675)
257,-73.8131564539185,40.64913321886201,POINT (-73.8131564539185 40.64913321886201)
258,-73.80097036481848,40.72447615862794,POINT (-73.80097036481848 40.72447615862794)
259,-73.90603418365153,40.75910683990355,POINT (-73.90603418365153 40.75910683990355)
260,-73.77319205325662,40.768402540652936,POINT (-73.77319205325662 40.768402540652936)
261,-73.70575296656001,40.7437929695891,POINT (-73.70575296656001 40.7437929695891)
262,-73.75695173544361,40.71586185778719,POINT (-73.75695173544361 40.71586185778719)
263,-73.78578929726312,40.72532564657539,POINT (-73.78578929726312 40.72532564657539)
264,-73.81036074785526,40.73259471526255,POINT (-73.81036074785526 40.73259471526255)
265,-73.85517226218053,40.78353650263772,POINT (-73.85517226218053 40.78353650263772)
266,-73.76057731172756,40.64064650368726,POINT (-73.76057731172756 40.64064650368726)
267,-73.80988710378072,40.77453997736037,POINT (-73.80988710378072 40.77453997736037)
269,-73.7786912177422,40.70841438380168,POINT (-73.7786912177422 40.70841438380168)
270,-73.80454993944046,40.795603946631694,POINT (-73.80454993944046 40.795603946631694)
271,-73.84578489108029,40.65281400171057,POINT (-73.84578489108029 40.65281400171057)
272,-73.82691274975019,40.68108910067424,POINT (-73.82691274975019 40.68108910067424)
273,-73.83374543387053,40.5968001234521,POINT (-73.83374543387053 40.5968001234521)
274,-73.9006697387382,40.71779591885265,POINT (-73.9006697387382 40.71779591885265)
275,-73.882168650666,40.70019373910729,POINT (-73.882168650666 40.70019373910729)
276,-73.90921283126403,40.78939270257235,POINT (-73.90921283126403 40.78939270257235)
277,-73.78084616576118,40.68158369580329,POINT (-73.78084616576118 40.68158369580329)
278,-73.88001856834563,40.562345359169065,POINT (-73.88001856834563 40.562345359169065)
279,-73.75190603712777,40.66122060687917,POINT (-73.75190603712777 40.66122060687917)
280,-73.80239560609898,40.77962877253766,POINT (-73.80239560609898 40.77962877253766)
281,-73.8444812283559,40.69493724806324,POINT (-73.8444812283559 40.69493724806324)
282,-73.78659526914319,40.76617822887359,POINT (-73.78659526914319 40.76617822887359)
283,-73.89876186275009,40.7450110249049,POINT (-73.89876186275009 40.7450110249049)
284,-73.83037549329896,40.68530416999148,POINT (-73.83037549329896 40.68530416999148)
285,-73.75114564373884,40.7100692920082,POINT (-73.75114564373884 40.7100692920082)
286,-73.74476030682422,40.71322257714786,POINT (-73.74476030682422 40.71322257714786)
287,-73.80013178341439,40.69982511881032,POINT (-73.80013178341439 40.69982511881032)
288,-73.74241228052261,40.66856538729951,POINT (-73.74241228052261 40.66856538729951)
289,-73.91705700004142,40.71092421226429,POINT (-73.91705700004142 40.71092421226429)
290,-73.82763349897527,40.766204966459895,POINT (-73.82763349897527 40.766204966459895)
291,-73.80587692629193,40.79061908742021,POINT (-73.80587692629193 40.79061908742021)
292,-73.87853533461089,40.72376730909736,POINT (-73.87853533461089 40.72376730909736)
293,-73.82120364734985,40.67322003303031,POINT (-73.82120364734985 40.67322003303031)
294,-73.79113158125669,40.7208069631647,POINT (-73.79113158125669 40.7208069631647)
295,-73.89809301444978,40.69337907432499,POINT (-73.89809301444978 40.69337907432499)
296,-73.82625184926249,40.78511552137073,POINT (-73.82625184926249 40.78511552137073)
298,-73.8977318135603,40.73880681840209,POINT (-73.8977318135603 40.73880681840209)
299,-73.74884282882867,40.71516040889431,POINT (-73.74884282882867 40.71516040889431)
300,-73.710831218546,40.75410755596247,POINT (-73.710831218546 40.75410755596247)
301,-73.88602227372596,40.74774072118823,POINT (-73.88602227372596 40.74774072118823)
302,-73.79117435925494,40.697825205918726,POINT (-73.79117435925494 40.697825205918726)
303,-73.77089977371746,40.76378477503192,POINT (-73.77089977371746 40.76378477503192)
304,-73.80421334785072,40.75763907081761,POINT (-73.80421334785072 40.75763907081761)
305,-73.79635460175052,40.69124266835168,POINT (-73.79635460175052 40.69124266835168)
306,-73.75258143695956,40.77780292125888,POINT (-73.75258143695956 40.77780292125888)
307,-73.88705522204644,40.71024689229293,POINT (-73.88705522204644 40.71024689229293)
308,-73.8272747025385,40.75545167465434,POINT (-73.8272747025385 40.75545167465434)
309,-73.89623462146727,40.74298097355344,POINT (-73.89623462146727 40.74298097355344)
311,-73.87924501901038,40.73518258359436,POINT (-73.87924501901038 40.73518258359436)
312,-73.83135037813007,40.67396960356303,POINT (-73.83135037813007 40.67396960356303)
314,-73.80543669001055,40.68583889383415,POINT (-73.80543669001055 40.68583889383415)
315,-73.78737824103092,40.774272572736514,POINT (-73.78737824103092 40.774272572736514)
317,-73.88035033931574,40.737077786406665,POINT (-73.88035033931574 40.737077786406665)
318,-73.91708519120233,40.78321262865151,POINT (-73.91708519120233 40.78321262865151)
320,-73.93072725778794,40.73098617104775,POINT (-73.93072725778794 40.73098617104775)
321,-73.77521806338072,40.59559692880188,POINT (-73.77521806338072 40.59559692880188)
322,-73.74931030065517,40.68002624741818,POINT (-73.74931030065517 40.68002624741818)
324,-73.77080936782626,40.779996195766735,POINT (-73.77080936782626 40.779996195766735)
325,-73.83329128281953,40.607937848926426,POINT (-73.83329128281953 40.607937848926426)
326,-73.81764089825604,40.79827327527669,POINT (-73.81764089825604 40.79827327527669)
327,-73.93052802285742,40.75080292246172,POINT (-73.93052802285742 40.75080292246172)
328,-73.84850974497778,40.70632661698087,POINT (-73.84850974497778 40.70632661698087)
329,-73.77131923328905,40.6249362925381,POINT (-73.77131923328905 40.6249362925381)
330,-73.78959893979591,40.59215118175505,POINT (-73.78959893979591 40.59215118175505)
331,-73.84105750819208,40.79235084805448,POINT (-73.84105750819208 40.79235084805448)
332,-73.792139369124,40.61260174620179,POINT (-73.792139369124 40.61260174620179)
333,-73.87445024612516,40.73844878033284,POINT (-73.87445024612516 40.73844878033284)
334,-73.8164125148881,40.58859422747906,POINT (-73.8164125148881 40.58859422747906)
335,-73.84470615127684,40.768649504789465,POINT (-73.84470615127684 40.768649504789465)
336,-73.85459216060673,40.72577349796742,POINT (-73.85459216060673 40.72577349796742)
337,-73.91039603451271,40.70338151103821,POINT (-73.91039603451271 40.70338151103821)
338,-73.76715972925595,40.65303139984368,POINT (-73.76715972925595 40.65303139984368)
339,-73.82050130786043,40.62656832026226,POINT (-73.82050130786043 40.62656832026226)
340,-73.82584963302978,40.74035896982512,POINT (-73.82584963302978 40.74035896982512)
341,-73.74220212102504,40.7708410728159,POINT (-73.74220212102504 40.7708410728159)
342,-73.731237947737,40.65321307713852,POINT (-73.731237947737 40.65321307713852)
343,-73.75945308249679,40.63342486140891,POINT (-73.75945308249679 40.63342486140891)
344,-73.77085054734917,40.76961261184736,POINT (-73.77085054734917 40.76961261184736)
345,-73.74225646907428,40.72367096145619,POINT (-73.74225646907428 40.72367096145619)
346,-73.74803384065261,40.67553156769338,POINT (-73.74803384065261 40.67553156769338)
347,-73.90270577185125,40.72374391742528,POINT (-73.90270577185125 40.72374391742528)
348,-73.77957322974841,40.5970832815265,POINT (-73.77957322974841 40.5970832815265)
349,-73.7495469484915,40.7179873391021,POINT (-73.7495469484915 40.7179873391021)
350,-73.76079378723944,40.64802334246823,POINT (-73.76079378723944 40.64802334246823)
351,-73.77395798074711,40.781415403468536,POINT (-73.77395798074711 40.781415403468536)
352,-73.75956727406404,40.75209727607743,POINT (-73.75956727406404 40.75209727607743)
354,-73.76276581277979,40.59369666776184,POINT (-73.76276581277979 40.59369666776184)
355,-73.77236469830542,40.62589997704311,POINT (-73.77236469830542 40.62589997704311)
356,-73.83005539225903,40.68157497718618,POINT (-73.83005539225903 40.68157497718618)
357,-73.81925534947825,40.65985758428703,POINT (-73.81925534947825 40.65985758428703)
358,-73.81598641981442,40.66874642569837,POINT (-73.81598641981442 40.66874642569837)
359,-73.88098048886516,40.70902107740309,POINT (-73.88098048886516 40.70902107740309)
360,-73.83285121812426,40.7330865518156,POINT (-73.83285121812426 40.7330865518156)
361,-73.93900572486336,40.54611769600162,POINT (-73.93900572486336 40.54611769600162)
362,-73.77849285273437,40.77940142945516,POINT (-73.77849285273437 40.77940142945516)
363,-73.90198409235003,40.74849123780747,POINT (-73.90198409235003 40.74849123780747)
364,-73.73921193064973,40.77363096258794,POINT (-73.73921193064973 40.77363096258794)
365,-73.82937535067649,40.66570734115652,POINT (-73.82937535067649 40.66570734115652)
366,-73.84257327805538,40.648837494528834,POINT (-73.84257327805538 40.648837494528834)
367,-73.8868550326588,40.768993069501,POINT (-73.8868550326588 40.768993069501)
368,-73.78028554373492,40.68087933853745,POINT (-73.78028554373492 40.68087933853745)
369,-73.75607206485311,40.632636266449865,POINT (-73.75607206485311 40.632636266449865)
370,-73.80534891176922,40.64451593842827,POINT (-73.80534891176922 40.64451593842827)
371,-73.79157860330739,40.769083296320304,POINT (-73.79157860330739 40.769083296320304)
372,-73.82081176634307,40.62447207776211,POINT (-73.82081176634307 40.62447207776211)
373,-73.81472804882489,40.68520525820309,POINT (-73.81472804882489 40.68520525820309)
374,-73.89771651238642,40.760951042107,POINT (-73.89771651238642 40.760951042107)
375,-73.84938875685738,40.791432475356,POINT (-73.84938875685738 40.791432475356)
378,-73.81918594746178,40.65617274902584,POINT (-73.81918594746178 40.65617274902584)
379,-73.85742459046645,40.7514412589816,POINT (-73.85742459046645 40.7514412589816)
381,-73.81302004833674,40.76355940337698,POINT (-73.81302004833674 40.76355940337698)
382,-73.70374793542398,40.75299790598453,POINT (-73.70374793542398 40.75299790598453)
